Test #,Build #,Category,Test Case,Expected Result,Actual Result,Repeatable?,Blocker?,Test Owner
8,10/20/24,Arena\Draw,"After a lot cards have been drawn, cards get hidden off screen, or even under some of the UI, so they are not clickeble, or purchasable. Maybe have cards stack some way.","Cards don’t get hidden, and are clickable.",Cards were hidden and were not accessible.,Yes ,No,Tigran Manukyan
0,2024-10-07 00:00:00,Deck Builder Tutorial,"The tutorial hides the deck builder icon, so your just clicking blindly",Maybe the tutorial to move to a different part of the screen,"Couldn't see the ""Deck Builer Icon""",Yes,No,Tigran Manukyan
1,2024-10-08 00:00:00,Deck Builder Tutorial,"Once you add 20 Gaurdians any more gaurdians added cannot be removed, so if you fill your 30 alloted slotes with just  gaurdians you wont be able to remove them to add reaction and action cards to complete the tutorial","Remove button to work if you have more than 20 gaurdians, but be blocked if you have 20 gaurdians",Had 26 Gaurdians and Couldn't remove them to finsih the task,Yes,Yes,Tigran Manukyan
2,2024-10-08 00:00:00,Tutorial/Deck Builder Tutorial,"Suggestion: a way of skipping a part of the tuturial in case someone gets stuck, they donÕt have to quit the game","Stuck on tutorial, had to restart",,,No,Tigran Manukyan
3,2024-10-08 00:00:00,Arena,After the opponents health drops down to a certain level their hp points are not visible.,HP points to be a different color,Could not see HP points,Yes,No,Tigran Manukyan
4,2024-10-08 00:00:00,Arena,"Suggestion: After a battle is done, when clicking return a pop up shows up, saying are you sure you want to leave this room? Makes the user feel like their quiting the game, when in fact it is over, maybe have it say something else?",,,,No,Tigran Manukyan
5,2024-10-08 00:00:00,Edit Profile,"Name Change does not appear Arena even after restarting the game, appears in main screan but not Arena",New name to apear while in Arena,Old name (default name) appears,Yes,No,Tigran Manukyan
6,2024-10-08 00:00:00,Home Page/Settings,There is an (X) button in the settings but it does nothing,Close the settings without saving,Nothing,Yes,No,Tigran Manukyan
0,2024-10-14 00:00:00,Arena\Battle Phase,"During an animation during battling, if you select an attacker, sometimes the attacker is selected, but it does not let you attack any character even after the animation has ended. You have to unselect the character by clicking on another character, then reselect for it to work","Either does not let you select while animation is playing, or lets you attack with selected attacker.",Could not attack with selected attacker ,Yes,No,Tigran Manukyan
1,2024-10-15 00:00:00,Arena\Battle Phase,"After killing the last defender of the opponent, game froze, I had no more moves left, but it would not let me end my battle phase.  Even tho I had used all my attackers, it gave the animation of being able to attack the opponent directly, but would not let me do it. Game was completely frozen. ",Ends battle phase,Game froze,No,Yes,Tigran Manukyan
2,2024-10-15 00:00:00,Arena\Battle Phase,Suggestion:  auto end phase if no actions can be taken,,,No,No,Tigran Manukyan
3,2024-10-15 00:00:00,Arena\Main Phase,"For starting second. During th3 opponen's main phase, the option to hire a gaurdian is available. If clicked it bugs out and it automaticly skips your turn every time, automatically draws cards for you then skips the rest of your turn. The attaking AI does not battle, but still hires charecters, and lets the time run out.",Does not let you hire charecter when its not your turn,The game automatilly skips your turn for every future round.,Yes,Yes,Tigran Manukyan
4,2024-10-15 00:00:00,Arena\Main Phase,"After clicking on an already purchached gaurdian if a essense card is also clicked to ""flip"" the UI's for both overlap, one should close before the other opens",One of the UI's closes before the other is opend,Both UI's overlapping each other.,Yes,No ,Tigran Manukyan
5,2024-10-15 00:00:00,Arena\Battle Phase,"After losing a match game got stuck, no ending screen.",A Defeat screen shows up,Game Froze,No,Yes,Tigran Manukyan
6,2024-10-15 00:00:00,Arena\Battle Phase,"For all battles phases, the botton always says ""Turn 5 Battle"" no matter which turn it is.",It says the the correct turn number ,Wrong turn number is desplayed ,Yes,No,Tigran Manukyan
