Test #,Build #,Category,Test Case,Expected Result,Actual Result,Repeatable?,Blocker?,Test Owner
3,03/18/2024,Edit Profile Page,"""Player Banner"" button doesn't work","Clicking ""Player Banner"" leads to player banners",Nothing happens,yes,no,Rishabh Chadha
4,03/18/2024,Anime Ultraman Pop-Up Window,"""Latest News"" button doesn't work","Clicking ""Latest News"" leads to latest news",Nothing happens,yes,no,Rishabh Chadha
5,03/18/2024,Anime Ultraman Pop-Up Window,"""Latest Update"" button doesn't work","Clicking ""Latest Button"" leads to latest update",Nothing happens,yes,no,Rishabh Chadha
0,03/20/2024,Settings,Bug Case: The X widget in Settings is not responsive,Properly highlight where to click,Highlight is offset slightly,Yes,No,Inderjit Singh
1,03/20/2024,Adventure Mode,Bug Case: Cannot leave screen and clicks do not register,"Be able to play adventure mode or if not ready, be able to back out",User is stuck in the adventure mode screen and has to close the game to get out of Adventure Mode,Yes,Yes,Inderjit Singh
2,03/20/2024,Leaderboards,Bug Case: Search bar is not working and X doesn’t work,Search bar should search players and X should clear the search bar,The bar does not search players and cannot click the X to clear the search bar,Yes,No,Inderjit Singh
3,03/20/2024,Leaderboards,User Case: Text is blocked from other information,Text should be clear to read,Text is blocked and overlapping so you cannot read the information listed in leaderboard,Yes,No,Inderjit Singh
1,03/16/2024,Arena match,Bug: says match but timer is stucknothing happens,Match startes,The arena page comes up but the timer is stuck,Yes,Yes,Mimi Truong
2,03/16/2024,Adventure select,Bug: Play button doesn’t work,start the advencture,nothing happens,Yes,yes,Mimi Truong
3,03/16/2024,Adventure select,Bug: back button doesn’t work,Back button goes back to home page,nothing happens now I have to refresh and authenticate everything all over again :(,Yes,Yes,Mimi Truong
4,03/16/2024,Arena match,bug: Timer froze at 66,timer continues till player is done with turn,timer froze and now cant do anything,Yes,Yes,Mimi Truong
5,03/16/2024,Arena match,Bug: volume keys for setting on a match doesnot work,volume mute or higher,nothing after shows that volume should be muted,Yes,no,Mimi Truong
1,03/20/2024,UI,Window size not fitted,window size fitted to screen,"didn’t fit, zoomed in",yes,no,Omar Monge
2,03/20/2024,login,can’t login,window closed to authenticate,window close then didn’t log in,yes,yes,Omar Monge
3,03/20/2024,login,not connecting to server,connection to server,not connected to server,yes,yes,Omar Monge
2,,Game,Login dropped after being in a session game with someone else,not to be kicked out of the system while in a game,the game crashed and seemed to disconnect me from the server,yes,no,Javier Galan
3,,Game,cards to flip and activation,the cards will activate or flip correctly,"the game cards would not flip or activate correctly sometimes, most likely when latency of the game goes higher than 80",yes,no,Javier Galan
4,,Game Latency,game latency going up and game slow down,"the latency is 100% not dependent on the current state of the internet of the player, which in this case it should and reduce latency on user internet speed",latency going as high as 110 which is bad for connections in general with the other players which would also result in getting kicked out of the server,yes,no(depends),Javier Galan
4,03/18/2024,Adventure Select,Home icon on top right does nothing,To go back to main menu,Nothing happened,Yes,Yes,Artim Trofimenko
4,03/18/2024,Enders Game Leaderboard,"After typing a name to search on the bottom left, clicking the ""x"" to clear it, dosent clear it",For the name to clear,Name didnt clear,Yes,No,Artim Trofimenko
0,03/19/2024,Gameplay Tutorial,"Bug: After clicking the cards when it was not my turn, a black overlay appeared and did not close so I was unable to click the draw card button",I expected the draw button to be clickable when I was required to click it,A black overlay appeared after clicking on cards and their options when it was not my turn and I was unable to click the draw button to progress the tutorial,Yes,Yes,Katrina Ortiz
1,03/19/2024,Deck Builder Tutorial,"Bug: If you click on NFTs section and then attempt to complete the task where you need to add 20 Guardians to the deck but don't have enough cards, you cannot exit out to pick the other section ""Free to Use"" to be able to add more cards","I expected to be able to exit out of the NFTs section to navigate to the ""Free to Use"" section to add more cards","Since there were not enough cards in the NFTs section of the Deck Builder Tutorial when adding cards to my deck, I was unable to exit and navigate to the ""Free to Use"" section and progress the tutorial",Yes,Yes,Katrina Ortiz
3,03/19/2024,Leaderboard,Bug: The statistics for the rankings wraps and overlaps the labels at the bottom of the leaderboard,I expected the text and statistics to be formatted where they do not overlap,The statistics for the rankings overlaps the text labels at the bottom of the leaderboard,Yes,No,Katrina Ortiz
4,03/19/2024,Leaderboard,"Bug: Since the Wins and Losses are already labelled, I do not think we need the ""W"" or ""L"" after the number",The information presented is concise,"Since the Wins and Losses are already labelled, the ""W"" and ""L"" after the number is redunant",Yes,No,Katrina Ortiz
5,03/19/2024,Leaderboard,Bug: The numbers are inconsistently spaced for the information at the bottom of the Leaderboard,I expected the numbers to be spaced consistently,"The numbers are spaced inconsistently in the fields that are presented at the bottom of the Leaderboard (i.e. The number after the colon after ""Level"" has a space while the numbers after ""Wins"" and ""Losses"" do not)",Yes,No,Katrina Ortiz
6,03/19/2024,Leaderboard,"Bug: When you reach page 100, the numbers stack and are not formatted nicely",I expected the page numbers to stay formatted when it reaches 100 and above,The page numbers start not formatting correctly when it reaches 100 and above,Yes,No,Katrina Ortiz
8,03/19/2024,Settings,Bug: Changing the language from English to another language only changes some text to that selected language but not all text,I expected all English text to change to the selected language,"Some text stayed English even when the language was changed (i.e. The options in the Settings changed to the selected language but the title ""Settings"" remained in English)",Yes,No,Katrina Ortiz
9,03/19/2024,Settings,"Bug: The default volumes were set at 60 initially but when the ""Reset to default"" button was clicked, the new default was 50","I expected the volume options presets to be the same default (60) initially and when the ""Reset to default"" was pressed","The volume presets were 60 initially and then changed to 50 when the ""Reset to default"" button was pressed",Yes,No,Katrina Ortiz
10,03/19/2024,Arena,"Bug: The numbers after the word ""Gold"" when viewing a card's details are not spaced after the colon",I expected the numbers to be spaced consistently,"The numbers after the colon in the word ""Gold"" are not spaced",Yes,No,Katrina Ortiz
2,03/13/2024,Gameplay,Switched to another tab during gameplay,Returning to tab would continue the game,"Game went back to log in page, then logging in crashed and endless loading",yes,yes,Anastasia Naydina
0,03/17/2024,Game/Main Page,The buttons do not respond in adventure select.,Clicking a button should perform the indicated task.,Clicking on a button does not result in any action.,Yes,Yes,Raymond Gharapeti Babayans
1,03/18/2024,Game/Main Page,"Unable to add a card in a previously created deck in deck builder, after removing it.",The selected card should be added to the deck.,Clicking on the card does not place it in the deck.,Yes,Yes,Raymond Gharapeti Babayans
2,03/17/2024,Game/Main Page,"In the leadboards section, the rannking labels are overlapped.",each ranking should be displayed clearly without overlapping.,"Rankings are overlapped, making them indiscernible.",Yes,No,Raymond Gharapeti Babayans
1,03/19/2024,UI,Blue frame that highlights creation of new deck is misplaced,Blue highlighting during tutorial highlights the creation button,Most of the blue highlighting is off the button,yes,no,Elijah Ko
2,03/19/2024,UI,Words in different language are being split in different lines (Tutorial prompt),Words are not separated into two lines,"Word split into half - one in first line, the other in second",yes,no,Elijah Ko
3,03/19/2024,UI,Pressing the back arrow in adventure does not do anything,Going back to main page,Nothing happens,yes,yes,Elijah Ko
2,03/18/2024,UI,Bug: Adventure mode,Play adventure mode,Still does not atleast let you leave the mode to go back to main menu even though it does not work currently,Yes,Yes,Ramon
3,03/19/2024,Battle,Fire Croc Counter Attack prompt bug,"Two Fire Crocs on the field, one died and prompt comes up. Second died before choosing an option on prompt one, but still able to use the card effect of the second Fire Croc.","When the first Fire Croc's Counter prompt popped up and the second one died before choosing an option, the turn ended without registering the second Fire Croc counter.",Y,N,Peter Hernandez
2,03/19/2024,game,bug: player chosen icon resets to default in match,player selected icon shown in game,default player icon shown instead,yes,no,Michael Green
3,03/19/2024,game,user case: games take too much time due to small starting hand,games take resonable amount of time,"because of base hand size, all cards are played within two turns, resulting in a slowdown",yes,no,Michael Green
4,03/19/2024,game,user case: font color of health hard to see,see enemy health,when health drops below 30% cannot see exact numbers,yes,no,Michael Green
5,03/19/2024,game,bug: Zalla card targeted by enemy despite having a second guardian on the field,card passive would prevent targeting of card,Zalla was targeted and attacked,yes,no,Michael Green
3,03/19/2024,Login,"bug: I couldnt acces the game, it kept asking for authentification",Access the game,Not able to login,yes,yes,Jorge Torrez
1,02/27/2024,login,"tried to login with my Gmail, it gets Authenticatedand tells me "" now you can close this tab and return to the game"" when I return to the game page it only shows ""Connecting to server…"" and it doesn’t, waited 10 min didn't work",the home page of the game will show.,"it stays on the ""Connecting to server…"" page.","yes ""tried 5 time""",yes,Hampig Kodjanian
,03/05/2024,game play,"When doing Tutorial 2, the ""Deck Builder"" button is under the character. It took me a minute to figure out what to click.",change the character to the other side,stayed on top of the button I need to click,yes,no,Hampig Kodjanian
,03/05/2024,login,"The game keeps logging me off. I'm not sure if it's due to inactivity or other reasons, but I would be inactive for only 30 seconds before being logged off.",stay in the game untill i log my self off,log me off the game by itself,yes,yes,Hampig Kodjanian
,03/13/2024,game play,"In Adventure mode, I selected a mission, but I was unable to play even though I had full energy.",Play a Mission,the button did nothing,yes,yes,Hampig Kodjanian
,03/13/2024,Login,"When I refreshed the browser page, it logged me out of the game, and I had to go through the login process from the beginning. Consequently, I was unable to continue playing the game.",Stayed logged in and log me off after not coming back for 30 min,had to do the login all over again,yes,no,Hampig Kodjanian
,03/19/2024,game play,"Adventure mode is still causing a blockage; nothing works in it, and I have to restart the game","I want to play adventure mode, or at least be able to return to the main menu without having to log in again",I had to log in to the game all over again,yes,yes,Hampig Kodjanian
1,03/06/2024,game,adjusting camera settings during arena match,i should be able to adjust the camera settings during an arena match by selecting the gear icon,when selecting the gear icon you cannot change any of the camera settings,yes,no,shelby gallegos
5,03/06/2024,login,reopening the game after previously logging in and authenticating myself(TESTING ON BRAVE BROWSER),the game should remember that I logged in and authenticated in a recent play session where I didnt close the browser or clear my browser cookies/cache,the game doesnt remember this login and auth. causing me to have to relogin and auth. multiple times which bloats my email,yes,no,shelby gallegos
1,03/19/2024,Login/UI/Game/Main menu,"Bug?: When you adjust the volume, it won't change until you save but that wasn't the case when you hit default","I was expecting that when you change the options for the game, the volume would adjust accordingly with the sound bar. On the other hand, if the audio doesn't apply until after the user saves, I was expecting the default options to have the same treatment.","When you adjust audio for game in the soundbar, volume doesn't apply until the user saves, but when a user reverts to default, the volume will apply immediately before the user saves option.",Yes,no,Omar Garcia
2,03/19/2024,Login/UI/Game/Tutorials,Bug: Search feature doesn't function properly in tutorial,"When I go to the search bar in the tutorial, I was expecting the search to filter out the results by the one I am looking for","When I searched a tutorial, It didn't return any filtered results and the screen just remained the same as it did when I arrived at the screen.",Yes,Yes,Omar Garcia
3,03/19/2024,Login/UI/Game,Bug: The delete (x) button doesn't work anywhere,"When I type something in the search bar for tutorial or to find friends, I expect that when I hit the delete (x) button,it would clear my entry in the search bar","When I actually press the delete (x) button, it does not anything.",Yes,Yes,Omar Garcia
1,03/19/2024,Game,"Bug: Adventure mode does not seem to be working, can enter the UI but once loaded, nothing works",Start a battle,UI buttons not working,Yes,Yes,Ryan Kao
1,03/19/2024,Game,"bug: At about 10 cards left game got stuck, can not continue",End turn and proceed with the game,Timer not working and cannot end my turn to proceed,yes,yes,Jonathan Alcantar
2,03/19/2024,Game,"bug: After playing a game, and stating a new one, I cannot make any moves",Be able to make moves like draw a card or make an attack,The timer goes on but cannot make any moves,yes,yes,Jonathan Alcantar
3,03/19/2024,Game,user case: The timers for each player's turn are too long,Make the timers shorter,Timers are too long,yes,no,Jonathan Alcantar
2,03/18/2024,Deck builder Editor,Up and down arrows don’t work in editor,Moving down the lists by using the arrows,"Arrows did not work, just the bar",Yes,No,Angeles Montalvo
3,03/18/2024,Enders gate leaderboard,Overlapping text,Seeing all the stats for my account at the bottom of the leaderboard,Some of the text was overlapping with another part of the text which made it hard to read my stats,Yes,No,Angeles Montalvo
1,03/19/2024,Stand by phase,started to lagg then skipped 2 phases,,eventually gave me the appropriate turn,yes,no,Liliana Rivas
1,03/19/2024,main page,user case: multiple windows overlapping(I pressed leader board and then setting),"setting windows should be in the front because I was tapping on it, at least the leader board window should go away",the leader board was in the front and the setting window was covered by it,yes,no,Hannah Xie
2,03/19/2024,main page,user case: player frame/player title/player banner unclickable,pop up a window to change player frame/title/banner,nothing showed up,yes,no,Hannah Xie
1,03/19/2024,Arena Game,Trying to attack with a duplicate card,Being able to attack with both individual cards,Once 1 was used for an attack cant use the other,yes,no,Armen Levonyan
2,03/19/2024,Arena Game,Accidentally clicking to a different link while in the middle of a game,Be able to return to the Arena game I was in,Back to the main menu,yes,no,Armen Levonyan
3,03/19/2024,Adventure Game,Going to adventure to play 1-1 for The Kingdom,"Start the game, use 3 Energy",Button gives visual indicator that its being clicked but nothing changes,yes,yes,Armen Levonyan
2,03/19/2024,UI,Cannot cancel matchmaking,Clicking “cancel” during matchmaking stops queue,Clicking “cancel” does nothing,yes,no,Randy Herrera
4,03/19/2024,UI,Leaderboard page number odd formatting,Leaderboard page 1234 should show as a single number,"Page 1234 is separated by a new line, 12 and then 34.",yes,no,Randy Herrera
1,03/18/2024,Game,User case: it's easy to overpower opponent,Recover from having all monsters defeated,Impossible to come back,yes,no,Jaztin Tabunda
2,03/18/2024,UI,Sound sliders still don't work in-game,Editing the Sound volume settings in a match can change the sound,Nothing happens still,yes,no,Jaztin Tabunda
5,03/18/2024,UI,User case: Health bar deduction looks wonky,Should have a smooth decreasing animation when hit,Clunky animation of decrease in health,yes,no,Jaztin Tabunda
6,03/18/2024,Game,AI doesn't attack if I never place any cards down,AI should attack me even if I remain AFK,Game doesn't switch to my turn and the AI doesn't attack me,yes,yes,Jaztin Tabunda
7,03/18/2024,UI,In-game Usernames don't show up in battle,My In-game username should be showed instead of my blockchain name,My blockchain name shows instead of my game username,yes,no,Jaztin Tabunda
8,03/18/2024,Game,User case: Really should add an AFK timer,I should automatically lose and be kicked from the match,I can waste other players' time by never setting down any cards,yes,yes,Jaztin Tabunda
2,03/13/2024,Adventure Mode UI,Click on adventure to enjoy some game content,Allows me to play the levels listed,Leads me into a blocker state where I have to refresh my game.,yes,yes,Herbert Alvarenga
1,03/17/2024,Game,Card animations,When wigging float on top of net,some part of the card falls inside the net,yes,no,Eduard Hovhannisyan
2,03/17/2024,UI,"When game loads, main banner buttons",buttons to navifate to another website,they do not work,yes,no,Eduard Hovhannisyan
2,03/19/2024,main page,bug: tutorials -> complete-> pop-up,"check the ""complete the tasks"" box and continue","the box does not check, and does not let me move on",yes,yes,Yashira Almanza
2,03/17/2024,First Tutorial,Card Glitches and doesn't activate,For the card to activate when I click on activate,Card doesn't activate at all but allows for user to place it instead,yes,yes,Christina Mourad
3,03/17/2024,First Tutorial,Does not go over tutorial once its completed,For the tutorial monologue and help to reset everytime the user plays it,Tutorial is treated as a normal game like the Arena without any guidance or monologue,yes,no,Christina Mourad
1,03/19/2024,Tutorial,Tutorial Does Not Load,Tutorial to pop up,Went to black screen and froze,Yes,Yes,Anthony Daulo
2,03/19/2024,Tutorial,Skips Enemy AI Actions,Full animation of enemy actions plays out,Skips through animations and can only view aftermath of game actions,Yes,No,Anthony Daulo
1,03/18/2024,Main Page,bug: adventure mode still leads to a blocker,adventure mode should allow players to take on `adventure` missions,"none of the adventure mode buttons work, even the button for going back to the main page",yes,no,Justin Reyes
2,03/18/2024,Game,bug: card `restful camp` can't be activated,card `restful camp` should activate when pressing the activate button,pressing activate button on card does nothing,yes,no,Justin Reyes
5,03/18/2024,Game,user case: some card passives can't be fully read because there's too much text to fit on the card UI,should be able to fully read card passives when clicking on them,can't read some card passives because there's not enough space on the card,yes,no,Justin Reyes
1,03/19/2024,In game,design feature: When attack the user directly the health of the user can become unreadable due to the black font and the black background when gettign the user's health low,I expected to see the opponnets health throught the game,I can't see my opponent's helath because the healthbar background(black was the same color as the text of their health,yes,no,Mansoor Amza
1,03/19/2024,Game,matches are very long,games take around 5 minutes,Games take around 10-15 minutes,yes,no,Donald Cruz
2,03/19/2024,Game,"First turn of the duel, standby phase does not automatically move to main phase 1",the game to automatically switch from standby phase to main phase 1,Game stays in standby phase,yes,no,Donald Cruz
3,03/19/2024,Main Page,Switching from the 5HeadGames screen to the main page resets menu music,the music to stay playing,game resets the music when pressing the back button,yes,no,Donald Cruz
4,03/18/2024,UI,I changed my display name in the main menu but it defaults back to the given name during gameplay,I expect the correct name to be displayed at all times,The name displayed is the system given name,yes,no,Christopher Poveda
3,03/19/2024,Arena,Custom name not showing up in Arena gameplay,"""Velocity"" should be the name I see as that is what I set it to",Some random assortment of numbers and letters,yes,no,Brandon Hakimi
4,03/19/2024,Arena,"Game stuck, timer not moving and nothing happening. After about 2 minutes of nothing happening and the page being unresponsive the victory screen was displayed.",Not sure how big of an error this is if it even is one. I mean the timer stopped for a while with nothing happening so I assume the other party left a long time ago,Victory screen should be snappier. If other party leaves it shouldn’t take more than 30 seconds for the game to register and not just leave me hanging,yes,yes (temporarily),Brandon Hakimi
2,03/05/2024,Game,User: Latency indicator blocking GUI elements,Latency indicator owns its own spot on the page,Latency indicator covering GUI elements,Yes,Yes,Grigor Azakian
3,03/05/2024,Login,Bug: Game times out and logs me out within one minute,Logout timer lasts for a longer period of time,Logout timer logs me out very quickly,Yes,Yes,Grigor Azakian
1,03/17/2024,Login,bug: game uses too much memory to open,game opens,error that I don’t have enough memory to open page after bar gets to 90%,yes,yes,Rahi Misra
0,,Friend search,When you have pending requests then the block and online buttons aren't very responsive,buttons to respond,buttons don't respond,yes,yes,Jean Hanna
1,03/19/2024,Landpage,Buttons aren't responsive when exiting friend screen,buttons to respond,buttons don't respond,yes,yes,Jean Hanna
2,03/19/2024,Game audio settings,Master/Music Volume and Sound FX sliders don't change anything,to change volume,doesn't change volume,yes,yes,Jean Hanna
2,03/05/2024,Game,Following along the tutorial,Go through the tutorial and complete the tasks step by step that Luna gives,"Would not register that I completed the task and would get stuck the being instructed what to do unless I press ""exit tutorial""",Yes,no,Andrew Gabriel
4,03/05/2024,Main Page,"Click on either arena, adventure, tutorials, nft shops, settings",register on click,"The game would not register that I'm pressing one of the options. Once it finally registered for arena button would not let me click ""cancel""",Yes,Yes,Andrew Gabriel
6,03/12/2024,Game,Allow me to follow along in tutorial and complete tasks that Luna assigns,Complete the tasks Luna assigns,Luna asked to use phase selector to swtich to main phase 2 but it isn't registering,Yes,no,Andrew Gabriel
3,03/14/2024,Deck Builder Tutorial,"When in the deck builder tutorial, when you are asked to have 20 red cards, the game may log you out completely",Finish the deck builder tutorial with no issues,Logged out and sent back to the login screen,yes,yes,Bryan Avila
1,03/19/2024,Game,"Able to exit the deck building tutorial, got softlocked",Cannot exit the tutorial,Exited the tutorial with the prompts active,yes,yes,Dawson Ford
2,03/19/2024,Game,"Every time I login, the game thinks I am a new palyer",Prompt stops showing up to play the tuorial,prompt keeps showing up,yes,no,Dawson Ford
3,03/19/2024,Game,Latncy jumped from 100 to over 1700 when joining and playing match,The latency stayed the same as shown in the menu of hte game (100),Lantency skyrocketed,yes,no,Dawson Ford
3,03/13/2024,UI,bug: The dialogue of the steps during the deck building tutorial is the same.,Each step has customized dialogue.,Multiple steps have the same dialogue.,yes,no,Connor Beaudoin
1,03/19/2024,UI,"Leaderboard: information about user ranking does not display correctly, text writes over other text.",Readable text,Text not formatting correctly,yes,no,Elizabeth Morgan
3,03/19/2024,Game,Cards: Some cards have a lot of text and the readability suffers due to the text shrinking. I recommend perhaps float text that enlarges the descriptions.,Readable text,Long descriptions shrink text and affect readability,yes,no,Elizabeth Morgan
4,03/19/2024,Game,"Artwork: Chosen One card has artwork that is somewhat lacking compared to art in other cards, recommend renewing this artwork.",Quality of cards,Artwork is lacking,yes,no,Elizabeth Morgan
5,03/19/2024,Game,"Artwork: The Yoshiko card had a description for “Good Boy”, but the name Yoshiko is a girl’s name.",Quality of cards,Translation error?,yes,no,Elizabeth Morgan
6,03/19/2024,Game,"Artwork Critique: There are many cards with female figures that are over sexualized compared to the amount of male figure cards. While I think that it’s fine to have sexy characters in these kinds of games, it is lacking in either female figures that are more modestly designed, or male figures that are equally as sexualized. I would recommend leaning into either category and perhaps have someone do quality control on this process.",Quality of cards,,yes,no,Elizabeth Morgan
7,03/19/2024,UI,"Marketplace: does not show all cards, only the first page and depending on the setting used (Low to High, High to Low, etc) or by using the filter.",Easy access to all cards in marketplace.,Must search or specify desired cards instead of freely browsing list.,yes,no,Elizabeth Morgan
9,03/19/2024,Game,"Artwork: The Tessa card has strange anatomy and strange physics with the hair, I recommend a fix for this artwork.",Quality of cards,,yes,no,Elizabeth Morgan
10,03/19/2024,Game,"Artwork: The Sahan card has her weapon exiting the borders of the card, please do this more!!! There are many unique things you can do with digital cards.",Quality of cards,,yes,no,Elizabeth Morgan
11,03/19/2024,Game,The card “Gold Bear Trap” has a boring name and can be improved,Quality of cards,,yes,no,Elizabeth Morgan
12,03/19/2024,Game,"Artwork: The card “Angry Sea” needs more action in the artwork, such as wind, debris, rain, etc. The action in the artwork is too still for what it’s representing",Quality of cards,,yes,no,Elizabeth Morgan
13,03/19/2024,Game,"Artwork: E-Axe: (element) Mode cards are just recolors of one artwork. I recommend giving each card it’s own unique artwork, as this technique is quite lazy and should be discourage in a NFT card game.",Quality of cards,,yes,no,Elizabeth Morgan
14,03/19/2024,Game,"Artwork: The card “Moonbeam” has too much darkness in the background, despite the figure being in direct moonlight. This art can be improved.",Quality of cards,,yes,no,Elizabeth Morgan
15,03/19/2024,Game,Artwork: The card “Otake Yukito” has too much negative space above the characters head. This can be fixed by either moving the character up or adding some kind of effect to show that the character is running at a high speed.,Quality of cards,,yes,no,Elizabeth Morgan
16,03/19/2024,Game,Artwork: The card “Takala” depicts a woman with native american attire. I recommend changing this card as it is seen as offensive to use native american culture as a costume in media such as this game.,Quality of cards,,yes,no,Elizabeth Morgan
17,03/19/2024,Game,Artwork: The card “Lady Rene” has a boring background for a character that is doing a spectacular magic attack. Anything but a blue sky would suit this card better.,Quality of cards,,yes,no,Elizabeth Morgan
18,03/19/2024,Game,"Artwork: The card “Hanako” has ugly boob armor. Also her hands are drawn strangely. I noticed that this card is supposed to be paired with “Aku Gaki”, the bad dog, but if her character is suppose to be evil in any capacity I fail to see it.",Quality of cards,,yes,no,Elizabeth Morgan
19,03/19/2024,UI,Deck Builder: This page should show off NFTs currently for sale or for rent to promote sales during typical gameplay.,Awareness of cards for sale/rent,Basic cards shown only,yes,no,Elizabeth Morgan
1,03/19/2024,Main Page,Close Settings Box,Pressing X closes box,Nothing,Yes,No,Jack Konyan
3,03/19/2024,Adventure,Mission objectives,Loads mission objectives,No objectives shown,Yes,No,Jack Konyan
1,03/19/2024,Arena Player,Ran as intended,Game concluded in a victory,Game played smoothly with no errors,yes,no,Andrew Demirjian
0,03/19/2024,Game,User Case: Blurred game elements & text towards edges of game screen during battle.,Be able to clearly see all elements & text anywhere on-screen.,There appears to be a strong blur effect implemented towards the edges of the screen during battle mode.,Yes,No,Svarun Soda
1,03/19/2024,Login,Window Resize did not fit to vertical Window,Resize to vertical screen,Did not resize,Yes,No,Javier Torres
